District Code,SchoolCode,FAFSA SchoolName,ERDC SchoolTTL,FAFSA District,ERDC DistrictTTL,Horizons Partner,District,School,Students,Unmatched,Errors,NoSignature,Completed,School District Name,Year,Percent
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,73,44,0,0,28,Castle Rock School District,2021-22,0.387
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,88,62,0,0,26,Castle Rock School District,2020-21,0.295
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,104,70,0,0,33,Castle Rock School District,2019-20,0.318
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,97,53,0,0,43,Castle Rock School District,2017-18,0.44
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,92,49,0,0,43,Castle Rock School District,2016-17,0.462
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,73,45,0,0,28,Castle Rock School District,2015-16,0.383561644
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,93,52,0,0,41,Castle Rock School District,2014-15,0.440860215
08401,2281,Castle Rock High School,Castle Rock High School,Castle Rock School District,Castle Rock,ESD 112,Castle Rock School District,Castle Rock High School,84,43,0,0,41,Castle Rock School District,2022-23,0.488095238
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,302,149,0,0,121,Central Kitsap School District,2020-21,0.4
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,351,160,0,0,166,Central Kitsap School District,2017-18,0.472
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,352,180,0,0,144,Central Kitsap School District,2016-17,0.41
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,307,166,0,0,147,Central Kitsap School District,2018-19,0.479
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,325,149,0,0,147,Central Kitsap School District,2019-20,0.451
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,345,174,0,0,137,Central Kitsap School District,2021-22,0.396
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,369,165,0,0,204,Central Kitsap School District,2022-23,0.552845528
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,375,192,0,0,183,Central Kitsap School District,2014-15,0.488
18401,2615,Central Kitsap High School,Central Kitsap High School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Central Kitsap High School,350,176,0,0,174,Central Kitsap School District,2015-16,0.497142857
18902,5319,Chief Kitsap Academy,Chief Kitsap Academy,Suquamish Tribal Education Department,Suquamish Tribal Education Department,West Sound STEM,Suquamish Tribal Education Department,Chief Kitsap Academy,10,0,0,0,3,Suquamish Tribal Education Department,2021-22,0.333
18902,5319,Chief Kitsap Academy,Chief Kitsap Academy,Suquamish Tribal Education Department,Suquamish Tribal Education Department,West Sound STEM,Suquamish Tribal Education Department,Chief Kitsap Academy,13,0,0,0,11,Suquamish Tribal Education Department,2019-20,0.813
18902,5319,Chief Kitsap Academy,Chief Kitsap Academy,Suquamish Tribal Education Department,Suquamish Tribal Education Department,West Sound STEM,Suquamish Tribal Education Department,Chief Kitsap Academy,10,0,0,0,6,Suquamish Tribal Education Department,2020-21,0.556
18902,5319,Chief Kitsap Academy,Chief Kitsap Academy,Suquamish Tribal Education Department,Suquamish Tribal Education Department,West Sound STEM,Suquamish Tribal Education Department,Chief Kitsap Academy,0,0,0,0,0,Suquamish Tribal Education Department,2022-23,0
18400,5546,Choice Academy,Choice Alternative School,North Kitsap School District,North Kitsap,West Sound STEM,North Kitsap School District,Choice Academy,10,0,0,0,5,North Kitsap School District,2021-22,0.545
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,12,12,0,0,7,Highline School District,2018-19,0.557
18400,5546,Choice Academy,Choice Alternative School,North Kitsap School District,North Kitsap,West Sound STEM,North Kitsap School District,Choice Academy,10,0,0,0,5,North Kitsap School District,2020-21,0.518
18400,5546,Choice Academy,Choice Alternative School,North Kitsap School District,North Kitsap,West Sound STEM,North Kitsap School District,Choice Academy,10,0,0,0,5,North Kitsap School District,2019-20,0.49
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,24,12,0,0,11,Highline School District,2020-21,0.473
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,10,0,0,0,5,Highline School District,2016-17,0.517
17401,1539,CHOICE Academy,CHOICE Academy,Highline School District,Highline,Puget Sound ESD,Highline School District,CHOICE Academy,10,0,0,0,6,Highline School District,2017-18,0.595
