SchoolYear|DistrictCode|DistrictName|FinalCohort|Graduate|CohortYearTTL|Horizons.Partner|DistrictTTL|PSEnrollLevel|Pct|Cohort Enrollment Rate|SchoolTTL|PSOrganizationTTL|Enrollees
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|2 Year / CTC|0.53|0.306|District Wide|Peninsula|6.64938
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.306|District Wide|Private/OOS - 2Yr/CTC|1.2546
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|4 Year|0.24|0.1275|District Wide|Private/OOS - 4Yr|1.2546
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.306|District Wide|Shoreline|1.2546
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|4 Year|0.1|0.1275|District Wide|UW|0.52275
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|4 Year|0.1|0.1275|District Wide|WSU|0.52275
2014-15|05401|Cape Flattery School District|41|34.85|2014|West Sound STEM|Cape Flattery|4 Year|0.1|0.1275|District Wide|WWU|0.52275
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3094|District Wide|Bellevue|0.55692
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3094|District Wide|Edmonds|0.55692
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|4 Year|0.05|0.1547|District Wide|EWU|0.27846
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3094|District Wide|Other 2Yr/CTC|0.55692
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|4 Year|0.05|0.1547|District Wide|Other 4Yr|0.27846
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|2 Year / CTC|0.48|0.3094|District Wide|Peninsula|5.346432
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3094|District Wide|Private/OOS - 2Yr/CTC|0.55692
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|4 Year|0.22|0.1547|District Wide|Private/OOS - 4Yr|1.225224
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|2 Year / CTC|0.05|0.3094|District Wide|Shoreline|0.55692
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|4 Year|0.05|0.1547|District Wide|UW|0.27846
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|4 Year|0.05|0.1547|District Wide|WSU|0.27846
2015-16|05401|Cape Flattery School District|36|32.76|2015|West Sound STEM|Cape Flattery|4 Year|0.05|0.1547|District Wide|WWU|0.27846
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.23842|District Wide|Bellevue|0.83447
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.23842|District Wide|Edmonds|0.83447
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|4 Year|0.1|0.14672|District Wide|EWU|0.51352
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.23842|District Wide|Other 2Yr/CTC|0.83447
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|4 Year|0.1|0.14672|District Wide|Other 4Yr|0.51352
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|2 Year / CTC|0.44|0.23842|District Wide|Peninsula|3.671668
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.23842|District Wide|Private/OOS - 2Yr/CTC|0.83447
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|4 Year|0.1|0.14672|District Wide|Private/OOS - 4Yr|0.51352
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|2 Year / CTC|0.1|0.23842|District Wide|Shoreline|0.83447
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|4 Year|0.1|0.14672|District Wide|UW|0.51352
2016-17|05401|Cape Flattery School District|35|32.095|2016|West Sound STEM|Cape Flattery|4 Year|0.1|0.14672|District Wide|WSU|0.51352
