SchoolYear|DistrictCode|DistrictName|StudentGroup|BeginningGrade9|FinalCohort|Graduate|GraduationRate|CohortYearTTL|Horizons.Partner
2022-23|36140|Walla Walla Public Schools|All Students|432|442|423|0.957013575|2022|United Way of the Blue Mountains
2022-23|20405|White Salmon Valley School District|All Students||||0.874|2022|ESD 112
2014-15|05402|Quillayute Valley School District|All Students|0|0|0||2014|West Sound STEM
2015-16|05402|Quillayute Valley School District|All Students|72|76|57|0.75|2015|West Sound STEM
2016-17|05402|Quillayute Valley School District|All Students|0|0|0||2016|West Sound STEM
2017-18|05402|Quillayute Valley School District|All Students|77|81|67|0.827160493827161|2017|West Sound STEM
2018-19|05402|Quillayute Valley School District|All Students|66|77|64|0.831168831168831|2018|West Sound STEM
2019-20|05402|Quillayute Valley School District|All Students|0|0|0||2019|West Sound STEM
2020-21|05402|Quillayute Valley School District|All Students|76|72|62|0.861111111111111|2020|West Sound STEM
2021-22|05402|Quillayute Valley School District|All Students|76|83|64|0.771084337349398|2021|West Sound STEM
2022-23|05402|Quillayute Valley School District|All Students|0|0|0||2022|West Sound STEM
